MANDANT,OBJECTCLAS,OBJECTID,CHANGENR,TABNAME,TABKEY,FNAME,CHNGIND,VALUE_OLD,VALUE_NEW
M1,BELEG,M1V302693P18,16236,VBAK,M1V302693,LIFSK,U,ZA,nan
M1,BELEG,M1V408866P12,16276,VBAK,M1V408866,LIFSK,U,ZA,nan
M1,BELEG,M1V408997P18,16317,VBAK,M1V408997,LIFSK,U,ZA,nan
M1,BELEG,M1V408963P3,16324,VBAK,M1V408963,LIFSK,U,ZA,nan
M1,BELEG,M1V407835P3,16351,VBAK,M1V407835,LIFSK,U,ZA,nan
M1,BELEG,M1V407875P80,16359,VBAK,M1V407875,LIFSK,U,ZA,nan
M1,BELEG,M1V407862P3,16373,VBAK,M1V407862,LIFSK,U,ZA,nan
M1,BELEG,M1V407872P12,16394,VBAK,M1V407872,LIFSK,U,ZA,nan
M1,BELEG,M1V408771P3,16407,VBAK,M1V408771,LIFSK,U,ZA,nan
M1,BELEG,M1V389807P12,16432,VBAK,M1V389807,LIFSK,U,ZA,nan
M1,BELEG,M1V389780P28,16455,VBAK,M1V389780,LIFSK,U,ZA,nan
M1,BELEG,M1V389905P3,16463,VBAK,M1V389905,LIFSK,U,ZA,nan
M1,BELEG,M1V389952P18,16470,VBAK,M1V389952,LIFSK,U,ZA,nan
M1,BELEG,M1V389895P12,16484,VBAK,M1V389895,LIFSK,U,ZA,nan
M1,BELEG,M1V389884P3,16492,VBAK,M1V389884,LIFSK,U,ZA,nan
M1,BELEG,M1V388825P18,16505,VBAK,M1V388825,LIFSK,U,ZA,nan
M1,BELEG,M1V391055P3,16512,VBAK,M1V391055,LIFSK,U,ZA,nan
M1,BELEG,M1V390993P12,16520,VBAK,M1V390993,LIFSK,U,ZA,nan
M1,BELEG,M1V301301P12,16528,VBAK,M1V301301,LIFSK,U,ZA,nan
M1,BELEG,M1V389975P865,16567,VBAK,M1V389975,LIFSK,U,ZA,nan
M1,BELEG,M1V389991P3,16574,VBAK,M1V389991,LIFSK,U,ZA,nan
M1,BELEG,M1V301198P51,16581,VBAK,M1V301198,LIFSK,U,ZA,nan
M1,BELEG,M1V390966P3,16588,VBAK,M1V390966,LIFSK,U,ZA,nan
M1,BELEG,M1V390894P2141,16596,VBAK,M1V390894,LIFSK,U,ZA,nan
M1,BELEG,M1V390877P36,16631,VBAK,M1V390877,LIFSK,U,ZA,nan
